SEQN,timezone,duration_hours,mean_lux,mean_daytime_lux,mean_nighttime_lux,time_above_threshold,M10,L5,RA
63304,UTC,192.08333333333334,123.43350390286209,240.84144136337375,4.54724537037037,0.0,278.23435339506176,0.00018055555555555557,0.9999987021341096
70065,UTC,192.08333333333334,148.82780860305962,285.4918399526188,2.8086033950617284,20.0,346.04526193394025,1.0068958333333333,0.9941974379885082
63508,UTC,192.08333333333334,22.27805290546401,43.635546875,1.211481909160893,0.0,52.29189236111111,0.0,1.0
62523,UTC,192.08333333333334,85.4271595836947,149.8205401502022,17.20392361111111,0.0,199.44874691358024,0.0,1.0
65011,UTC,186.41666666666666,66.85424635090855,123.41859617682199,13.360098502758078,0.0,144.92592410714286,2.1639444444444442,0.9705765670232345
62771,UTC,192.08333333333334,143.6279907487713,285.0302628538417,1.9173379629629628,10.0,339.5484772376543,0.8187430555555556,0.9951890604809108
67220,UTC,192.08333333333334,54.9917635154669,92.16061342592593,7.612486528098538,0.0,105.68778472222222,4.333222222222221,0.921229184451833
64025,UTC,192.08333333333334,16.22797340271755,26.407114384748702,6.8942399691358025,0.0,31.105234567901235,0.013354166666666665,0.9991417241456177
70723,UTC,192.08333333333334,6.2531237351835784,10.363789716926634,1.401766975308642,0.0,12.888702932098766,0.0,1.0
71095,UTC,192.08333333333334,54.96179430255488,78.58857105288118,35.996064814814815,0.0,107.10545809724525,0.0,1.0
70338,UTC,192.08333333333334,57.25838248048569,100.30342865395724,14.25515046296296,0.0,116.36969560185184,0.0,1.0
71412,UTC,192.08333333333334,82.16707429893033,143.3279491623339,15.656172839506175,0.0,166.01185802469135,0.01782638888888889,0.9997852626299706
70833,UTC,192.08333333333334,56.11770309337959,105.9464789139226,6.756527777777778,0.0,126.40045987654321,2.0289930555555555,0.9684029946521956
69979,UTC,192.08333333333334,129.49452876553917,245.85531773541302,15.15139274691358,0.0,291.4664587191358,0.050868055555555555,0.9996510117863775
65558,UTC,192.08333333333334,26.46672737785487,44.21257654534951,10.29457561728395,0.0,51.80294328703704,0.39763194444444444,0.9847652274833694
70313,UTC,192.08333333333334,24.222536860364265,39.56942708333333,5.040781370284835,0.0,44.55076041666666,0.042756944444444445,0.9980823695023561
67061,UTC,192.08333333333334,23.818511130384508,42.16411900635471,4.262866512345679,0.0,46.395756172839505,0.044138888888887944,0.9980990960969994
71473,UTC,192.08333333333334,90.26381613183,175.06500288850373,4.970432098765433,0.0,205.4076323302469,0.11109722222222222,0.9989188603640735
67785,UTC,192.08333333333334,19.565547846198324,38.34841998844598,0.8322299382716049,0.0,45.66100964506173,0.3259027777777777,0.9858262814088855
65676,UTC,192.08333333333334,239.63404596704248,444.4091493055555,6.845604311008468,15.0,530.8365208333333,0.23127083333333334,0.9991290346092819
65928,UTC,192.08333333333334,17.399004047412546,30.740326967592587,4.23066974595843,0.0,37.440253472222224,0.3638125,0.9807527317158252
67653,UTC,192.08333333333334,28.98825383058688,57.11720486111111,0.3837913779830639,0.0,63.20231944444445,0.0,1.0
66884,UTC,192.08333333333334,114.52964585140214,225.25689814814814,0.3963279445727483,10.0,265.07025,0.006916666666666667,0.999947813938457
71340,UTC,192.08333333333334,87.32569239664642,173.54849797804738,1.0041550925925924,0.0,206.7346724537037,0.33231250000000007,0.9967902898661097
71605,UTC,192.08333333333334,104.16107111882046,195.5188157134604,12.907800925925926,0.0,234.3371165123457,6.8048125,0.9435617644109365
67763,UTC,192.08333333333334,110.61949551893609,208.46780473714617,10.835138888888888,0.0,230.62793325617287,2.9796666666666667,0.9744899851918272
64133,UTC,192.08333333333334,90.86266551026307,180.54801848642404,0.26310185185185186,5.0,216.22809837962964,0.0,1.0
65021,UTC,192.08333333333334,82.60213211910957,139.82368923611114,24.0595688991532,0.0,151.18941319444446,20.922625,0.756872032665576
69006,UTC,192.08333333333334,71.6313746747615,139.06711516203706,1.7047113163972285,0.0,164.55875347222224,0.0,1.0
66409,UTC,192.08333333333334,36.53840127204394,70.18823801270942,1.8265779320987656,0.0,82.69597685185185,0.0004097222222222222,0.9999900909280517
65643,UTC,192.08333333333334,84.61302110436542,162.920719237435,6.101639660493827,5.0,194.00189429012343,0.961111111111111,0.9901405796537334
64248,UTC,192.08333333333334,104.81108412836079,203.4070739456961,4.285694444444444,0.0,234.31039969135801,0.0,1.0
70554,UTC,192.08333333333334,97.54119109569238,171.34522569444445,6.633260200153965,0.0,196.77127777777778,0.0,1.0
70367,UTC,192.08333333333334,107.07693986701359,206.79783073367997,6.62980324074074,0.0,240.26330208333331,0.0,1.0
70547,UTC,192.08333333333334,54.57036282162474,98.5009705372617,8.95690200617284,0.0,120.60414583333333,2.515152777777778,0.9591428345328343
66114,UTC,192.08333333333334,237.00678808904308,472.7060831889082,0.2873533950617284,75.0,556.0805594135802,0.11315277777777778,0.9995931173787204
65079,UTC,192.08333333333334,123.6941394838324,241.8715242487442,5.169193672839506,0.0,288.6364589349236,4.175694444444444,0.9714786808112134
70964,UTC,192.08333333333334,225.4875715524718,444.1291334488735,4.216427469135803,15.0,515.4579733796296,0.0035138888888888884,0.9999863660468313
66300,UTC,192.08333333333334,87.69045967042499,170.72350086655112,2.6501658950617286,0.0,197.03960455246914,0.11563888888888889,0.9988269255550052
70451,UTC,192.08333333333334,26.17630095403296,49.019814814814815,1.8766320246343342,0.0,57.822489583333336,0.0,1.0
65256,UTC,192.08333333333334,211.7015813819023,419.3431802426343,1.924675925925926,0.0,486.01473495370374,0.0025277777777777777,0.9999895979917932
70647,UTC,192.08333333333334,49.92683289968199,95.46999710648149,3.93112779060816,0.0,113.71954513888889,2.534222222222222,0.9564018907989391
69877,UTC,192.08333333333334,74.64595114194854,139.5175332177932,12.403888888888888,0.0,166.42557523148147,0.18152777777777776,0.9978208878913442
69013,UTC,192.08333333333334,168.7070237062735,333.9807047949162,2.6633140432098767,5.0,398.96928549382716,1.3787569444444445,0.9931122083872459
71625,UTC,192.08333333333334,88.16891298063025,172.19671585648152,5.22810623556582,35.0,206.0597326388889,0.11691666666666664,0.9988658592807627
68207,UTC,192.08333333333334,139.45016189650187,276.48125072212594,2.2604012345679014,0.0,331.47923418209876,0.13772916666666665,0.9991693478809056
62180,UTC,192.08333333333334,260.3886730268864,511.24302137492776,4.499621913580246,65.0,600.8151134259259,0.0,1.0
71567,UTC,192.08333333333334,209.4933738074588,383.39311342592595,12.98711701308699,20.0,439.26909027777776,2.5495972222222223,0.9884586266069959
68173,UTC,192.08333333333334,194.5336043762109,377.3833954577201,1.9621103395061728,15.0,443.26507062488486,0.0,1.0
62694,UTC,192.08333333333334,205.8449869904597,405.4200144425188,1.0656712962962962,25.0,470.8041863425926,0.15430555555555556,0.9993447169624923
70910,UTC,192.08333333333334,103.03445504481064,200.19639225880994,5.894672067901234,0.0,237.75147415123456,0.3354236111111112,0.9971823429658365
70337,UTC,192.08333333333334,3.031880601329864,5.976733102253033,0.024652777777777777,0.0,7.174807870370371,0.0011805555555555556,0.9996709706076753
65095,UTC,192.08333333333334,52.62932535026153,99.82220184087501,3.7911458333333337,0.0,118.82246883429298,0.0,1.0
63784,UTC,192.08333333333334,54.51944492627927,89.3075072212594,22.679043209876546,0.0,110.45807445987654,0.7976805555555555,0.9856604171991837
64296,UTC,192.08333333333334,54.314361087019364,103.78936741767764,3.9841010802469135,0.0,123.56832291666666,0.41934027777777777,0.9932357741573024
70931,UTC,192.08333333333334,128.44970367158135,247.50857019064125,6.409926697530864,0.0,283.59052970679016,0.0,1.0
67962,UTC,192.08333333333334,47.217999421798204,93.54875216637782,0.06263888888888888,0.0,112.91083140432099,0.00020833333333333335,0.9999963097792064
64974,UTC,222.16666666666666,66.48345456817898,123.29379042061757,1.4638614540466393,0.0,141.67673672839507,0.060888888888888895,0.9991408225074506
62221,UTC,192.08333333333334,21.286659439144263,35.315892547660305,4.819305555555555,0.0,40.77642708333334,0.4697152777777778,0.9772237959290636
67690,UTC,192.08333333333334,60.48808759757155,103.01354419410745,19.56741898148148,0.0,120.36478935185185,3.818673611111111,0.9384994826203227
